Geography,Rental unit type,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025
"St. John's, Census metropolitan area (CMA)",Apartment - 1 bedroom,870,880,910,950,940,940,"1,000","1,040","1,040","1,020","1,070","1,120","1,150","1,050E","1,200","1,230","1,210"
,Apartment - 2 bedrooms,970,"1,020","1,020","1,060","1,100","1,090","1,160","1,210","1,270","1,180E","1,370","1,590E","1,600E","1,580","1,690E","1,740E","1,630"
,Room,470,480,530,530,520,550,590,580,600,580,630,640,640,640,660,660,670
"Halifax, Census metropolitan area (CMA)",Apartment - 1 bedroom,"1,280","1,320","1,330","1,360","1,430","1,450","1,520","1,650","1,700","1,790","1,780","1,800","1,840","1,840","1,880","1,780","1,770"
,Apartment - 2 bedrooms,"1,630","1,680","1,720","1,830","1,810","1,920","1,990","2,050","2,120","2,260","2,300","2,350","2,380","2,440","2,390","2,230","2,230"
,Room,610,620,630,660,670,690,740,750,780,810,870,870,870,860,870,840,840
"Fredericton, Census metropolitan area (CMA)",Apartment - 1 bedroom,960,970,970,"1,020","1,070","1,110","1,120","1,130","1,160","1,110E","1,180","1,240","1,330E","1,260","1,280","1,390E","1,320"
,Apartment - 2 bedrooms,"1,140","1,170","1,190","1,290","1,280","1,360","1,350","1,430","1,440","1,490","1,490","1,550","1,560","1,570","1,580","1,610","1,570"
,Room,500,500,510E,560,560,540,610,590,600,600,640,650,650,640,680,700,660
"Moncton, Census metropolitan area (CMA)",Apartment - 1 bedroom,890,940,960,"1,020","1,000","1,030","1,080","1,100","1,150","1,140","1,140","1,220","1,210","1,220","1,290","1,310","1,320"
,Apartment - 2 bedrooms,"1,080","1,110","1,140","1,230","1,210","1,240","1,290","1,290","1,370","1,380","1,420","1,450","1,470","1,510","1,550","1,520","1,520"
,Room,480,490,530,530,530,550,580,600,600,620,630,680E,640,670,690,670,680
"Saint John, Census metropolitan area (CMA)",Apartment - 1 bedroom,860,860,870,870,910,960,"1,010","1,010","1,060","1,090","1,160","1,170","1,090","1,110","1,190","1,230","1,180"
,Apartment - 2 bedrooms,"1,120","1,110","1,110","1,120","1,160","1,110","1,230","1,260","1,300","1,320","1,400","1,450","1,520","1,430","1,590E","1,550","1,520"
,Room,480,490,470,510,510,510,510,560,530,560,590,650,630,660,660,640E,680
"Drummondville, Census metropolitan area (CMA)",Apartment - 1 bedroom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Apartment - 2 bedrooms,750,760,790,810E,860,910,980,980E,970,"1,040E","1,070E",990E,"1,100E","1,060E","1,040E","1,150E","1,200E"
,Room,370E,410,410,420,460E,470E,460,470E,480,490E,540E,500E,540E,560E,610E,550E,560E
"Montréal, Census metropolitan area (CMA)",Apartment - 1 bedroom,"1,140","1,140","1,170","1,210","1,220","1,240","1,330","1,370","1,410","1,400","1,480","1,520","1,540","1,540","1,570","1,550","1,540"
